question_id,category,original,english
1,economic,দেশের বড় বড় কল-কারখানা ও ব্যবসা সরকারের অধীনে থাকা উচিত।,The country's large industries and businesses should be under government control.
2,economic,"ব্যবসা-বাণিজ্য করার সুযোগ সবার জন্য উন্মুক্ত থাকা উচিত, সরকার এতে বাধা দেবে না।","The opportunity to do business and trade should be open to all, with no government interference."
3,economic,ধনীদের কাছ থেকে বেশি ট্যাক্স নিয়ে গরিবদের সাহায্য করা উচিত।,The rich should be taxed more to help the poor.
4,economic,ব্যবসা কীভাবে চলবে তাতে সরকারের নাক গলানো ঠিক নয়।,The government should not interfere in how businesses operate.
5,economic,শ্রমিকদের অধিকার রক্ষায় তাদের সংগঠন বা ইউনিয়ন আরও শক্তিশালী হওয়া দরকার।,Workers' unions and organisations need to be stronger to protect workers' rights.
6,economic,বিদেশি কোম্পানিগুলোকে দেশে ব্যবসা করার জন্য বিশেষ সুযোগ দেওয়া উচিত।,Foreign companies should be given special opportunities to do business in the country.
7,economic,পড়াশোনা ও চিকিৎসা সবার জন্য একদম ফ্রি হওয়া উচিত।,Education and healthcare should be completely free for everyone.
8,economic,নিজের জমি বা সম্পত্তি যেভাবে ইচ্ছা ব্যবহার করার অধিকার সবার থাকা উচিত।,Everyone should have the right to use their own land or property as they wish.
9,social,দেশের আইন কানুন ধর্মীয় নিয়ম অনুযায়ী হওয়া উচিত।,The laws of the country should be based on religious principles.
10,social,"ধর্ম যার যার ব্যক্তিগত বিষয়, দেশ চালানো উচিত সবার সমান অধিকারে।",Religion is a personal matter; the country should be governed with equal rights for all.
11,social,পুরানো পারিবারিক ও সামাজিক নিয়ম মেনে চলা আধুনিক হওয়ার চেয়ে বেশি জরুরি।,Following traditional family and social norms is more important than being modern.
12,social,কে কী পোশাক পরবে বা কীভাবে চলবে তাতে সমাজের বাধা দেওয়া ঠিক নয়।,Society should not restrict what people wear or how they conduct themselves.
13,social,স্কুল-কলেজে ধর্মীয় শিক্ষা সবার জন্য বাধ্যতামূলক করা উচিত।,Religious education should be made compulsory for all in schools and colleges.
14,social,"কথা বলার বা লেখার স্বাধীনতা সবার থাকা উচিত, এমনকি তা কারও মনে কষ্ট দিলেও।","Everyone should have freedom of speech and expression, even if it offends others."
15,social,বিদেশি সংস্কৃতির প্রভাব থেকে আমাদের নিজেদের সংস্কৃতিকে বাঁচানো দরকার।,We need to protect our own culture from the influence of foreign cultures.
16,social,ছেলে ও মেয়েদের সম্পত্তির সমান অধিকার থাকা উচিত।,Men and women should have equal rights to property.
17,economic,পরিবেশ রক্ষার জন্য কল-কারখানার ওপর কড়া নিয়ম ও জরিমানা থাকা দরকার।,Strict regulations and fines on factories are needed to protect the environment.
18,economic,দেশের অর্থনৈতিক উন্নতির জন্য পরিবেশের কিছুটা ক্ষতি হলেও তা মেনে নেওয়া যায়।,Some environmental damage is acceptable for the economic development of the country.
19,social,সব ধর্মের মানুষের উৎসব পালনে রাষ্ট্রের সমান সহযোগিতা থাকা উচিত।,The state should equally support the festivals of people of all religions.
20,social,ধর্মীয় অনুভূতিতে আঘাত লাগে এমন কোনো কাজ বা কথা কঠোরভাবে নিষিদ্ধ করা উচিত।,Any action or speech that hurts religious sentiments should be strictly prohibited.
21,social,ক্ষুদ্র নৃ-গোষ্ঠী বা আদিবাসীদের নিজস্ব সংস্কৃতি ও অধিকার রক্ষায় বিশেষ সুযোগ দেওয়া উচিত।,Special provisions should be made to protect the culture and rights of ethnic minorities and indigenous peoples.
22,social,আদিবাসীদের জন্য আলাদা কোনো সুবিধা না দিয়ে সবার জন্য একই নিয়ম থাকা উচিত।,"There should be the same rules for everyone, without any special benefits for indigenous peoples."
